         x          y        obs      image
       288        319         33        382
       315        113         33        383
       268        238         33        384
       138        166         33        385
       283         81         33        386
        93        277         33        387
        80        156         33        388
        79        290         33        389
       355        159         33        390
       328        224         33        391
       288        149         33        392
       347        285         33        393
       158        183         33        394
       384        153         33        395
       284        194         33        396
        53        197         33        397
        42        286         33        398
       153        199         33        399
       281        195         33        400
       201        222         33        401
       115        169         33        402
        78        124         33        403
       210         66         33        404
       193        132         33        405
       174         35         33        406
       260        317         33        407
       333        249         33        408
       107        235         33        409
       174        192         33        410
       118        250         33        411
        62        220         33        412
        58        257         33        413
        66        202         33        414
       175        306         33        415
        56        265         33        416
       164        182         33        417
        33        139         33        418
       179        197         33        419
       153        191         33        420
       129        191         33        421
       144        142         33        422
       163        261         33        423
       224        228         33        424
       260        263         33        425
       114        105         33        426
       247        143         33        427
       308        158         33        428
       176        349         33        429
       155        223         33        430
       324        126         33        431
       116        197         33        432
       231        139         33        433
       286        196         33        434
       101        121         33        435
       206        294         33        436
       211         73         33        437
       210         41         33        438
       103        159         33        439
       344        135         33        440
       305        189         33        441
       242        208         33        442
       165        234         33        443
       203        282         33        444
       161        135         33        445
       359        147         33        446
       314         94         33        447
       285        292         33        448
       279        141         33        449
       324        301         33        450
       334         85         33        451
       170        215         33        452
        23        214         33        453
       317        254         33        454
        91        281         33        455
        59        228         33        456
       282        159         33        457
       203        305         33        458
       232        249         33        459
       277        194         33        460
       355        272         33        461
       154        137         33        462
       234        219         33        463
        68        280         33        464
       248        257         33        465
        71        174         33        466
       136        186         33        467
       143        244         33        468
       320        273         33        469
        56        282         33        470
       121        232         33        471
        95        314         33        472
       255        161         33        473
       182        191         33        474
       260        251         33        475
        33        183         33        476
       261         58         33        477
       328        118         33        478
       292         92         33        479
        76        146         33        480
        60        128         33        481
       166        270         33        482
       243        213         33        483
       348        190         33        484
       101        176         33        485
       112        113         33        486
       147        170         33        487
       170        166         33        488
       361        150         33        489
       125        220         33        490
        85        182         33        491
       367        268         33        492
       182        174         33        493
        88        286         33        494
       213        253         33        495
       237        214         33        496
       307        223         33        497
       238         29         33        498
       161        193         33        499
       164        284         33        500
        98        276         33        501
       110        223         33        502
       164        132         33        503
       118        197         33        504
       377        143         33        505
       323        195         33        506
       108        238         33        507
       333        259         33        508
        68        188         33        509
       319        215         33        510
       208        139         33        511
       119        106         33        512
        85        159         33        513
       366        103         33        514
        72        195         33        515
        80        172         33        516
       107         68         33        517
       145        249         33        518
        30        202         33        519
       394        261         33        520
       329        186         33        521
       278         80         33        522
       390        137         33        523
       203        124         33        524
       334        331         33        525
       324        182         33        526
       330        271         33        527
       149        173         33        528
       321        274         33        529
       266        158         33        530
       230        219         33        531
        76        131         33        532
        93        184         33        533
       197        133         33        534
       360        212         33        535
       255        184         33        536
       247        218         33        537
        32        173         33        538
       122        172         33        539
       236        141         33        540
        57        290         33        541
       215        166         33        542
       299        155         33        543
       366        238         33        544
        87         50         33        545
       124        179         33        546
       295        251         33        547
        81        336         33        548
       263        184         33        549
       361        194         33        550
       220         92         33        551
        31        182         33        552
       290        270         33        553
       212        309         33        554
       334        296         33        555
       311        252         33        556
       253        196         33        557
       303        108         33        558
       222        178         33        559
       186        120         33        560
        78        284         33        561
       225        253         33        562
        58        232         33        563
       125         86         33        564
       161        224         33        565
        80        209         33        566
        60        172         33        567
       307        212         33        568
        24        226         33        569
       251        119         33        570
       101        140         33        571
       250        146         33        572
       253        212         33        573
       338        251         33        574
       126        317         33        575
       324        166         33        576
        62        151         33        577
       101        222         33        578
       140        141         33        579
       355        260         33        580
       356         92         33        581
        86        150         33        582
       313        224         33        583
       384        233         33        584
        26        207         33        585
        35        239         33        586
       259        303         33        587
       132        155         33        588
        76        281         33        589
        59        137         33        590
        35        161         33        591
       173        375         33        592
       369        264         33        593
       378        321         33        594
       306        319         33        595
       384         46         33        596
       343        162         33        597
        49        224         33        598
       192        161         33        599
       250         73         33        600
       227        167         33        601
       209        240         33        602
       131        276         33        603
       328        169         33        604
       269         68         33        605
        16        181         33        606
        83         39         33        607
       280         45         33        608
       287        138         33        609
       149        330         33        610
        31        197         33        611
        58        226         33        612
       178        220         33        613
        85        163         33        614
       355        220         33        615
       128        183         33        616
       204        146         33        617
       384        295         33        618
       108         18         33        619
       354        374         33        620
       247        211         33        621
       361         97         33        622
       191        224         33        623
        81        275         33        624
        36        169         33        625
       351        151         33        626
       126        250         33        627
       320        248         33        628
        75        228         33        629
       346        178         33        630
       159        368         33        631
       339        225         33        632
       286        222         33        633
       215        184         33        634
       263        178         33        635
       194        230         33        636
       245        151         33        637
       243        213         33        638
       171        181         33        639
       186        248         33        640
        59        322         33        641
       351        253         33        642
       101        352         33        643
        82        277         33        644
       316        168         33        645
       353         78         33        646
       120        152         33        647
       260        188         33        648
       266        351         33        649
       216        278         33        650
        76        124         33        651
       107        128         33        652
       132        120         33        653
       349        137         33        654
        73         95         33        655
       175        225         33        656
       269        197         33        657
       332        184         33        658
       380        169         33        659
       235        160         33        660
       351         37         33        661
       178        189         33        662
       319        152         33        663
       138         44         33        664
        47        207         33        665
       332        260         33        666
       345        160         33        667
       288         82         33        668
       179        197         33        669
        78        193         33        670
       145        135         33        671
       162        326         33        672
       289        169         33        673
        95        228         33        674
        52        152         33        675
       287        154         33        676
       313        185         33        677
        73        201         33        678
        66        290         33        679
       286        195         33        680
       169        119         33        681
       328        336         33        682
        24        299         33        683
       107        137         33        684
       176        211         33        685
       183         68         33        686
       294        333         33        687
        75        280         33        688
        84        137         33        689
       154        263         33        690
       259        202         33        691
       205        193         33        692
       135        180         33        693
       240         87         33        694
       156        143         33        695
       369        266         33        696
       140         99         33        697
        68        274         33        698
       113        257         33        699
       224        104         33        700
       363        291         33        701
        70        108         33        702
       261        240         33        703
       243        168         33        704
       105        191         33        705
       309        230         33        706
        87        249         33        707
       101        192         33        708
       360         62         33        709
       116        117         33        710
       380        272         33        711
       293        204         33        712
        68        157         33        713
        50        119         33        714
       188        296         33        715
       282        162         33        716
       162        277         33        717
       236        261         33        718
       223        167         33        719
       268         73         33        720
       189        177         33        721
       269        248         33        722
       265        180         33        723
       141        224         33        724
       325        124         33        725
       357        290         33        726
       227         85         33        727
       364        261         33        728
       313        269         33        729
       116        109         33        730
       236        218         33        731
        69         83         33        732
       342        134         33        733
       250        252         33        734
        81        105         33        735
       243        143         33        736
       229        128         33        737
       134        209         33        738
       348        305         33        739
       107        164         33        740
       297        283         33        741
        79        191         33        742
       133        240         33        743
       228        318         33        744
       161        223         33        745
       165        137         33        746
        87        103         33        747
       269        187         33        748
        54        211         33        749
       380        192         33        750
       163        146         33        751
       211        361         33        752
        89        209         33        753
       353        269         33        754
       116         93         33        755
       285        193         33        756
       265        273         33        757
       181         87         33        758
       131        171         33        759
        97        162         33        760
       259        152         33        761
       176        196         33        762
       256        180         33        763
       137        271         33        764
       277        180         33        765
       299        244         33        766
       199        234         33        767
       247        260         33        768
       152        222         33        769
       300        135         33        770
       314        113         33        771
       167        256         33        772
       319        180         33        773
        47        261         33        774
       110         87         33        775
       240        271         33        776
       340        124         33        777
       275        296         33        778
       176        350         33        779
       139        290         33        780
       163        228         33        781
       157        189         33        782
       178        276         33        783
       200        170         33        784
       242        213         33        785
        47        209         33        786
       240         74         33        787
       347        220         33        788
       165        255         33        789
       357        184         33        790
        56        213         33        791
        72        130         33        792
       288        226         33        793
       224        182         33        794
       301        269         33        795
        58        263         33        796
       230        199         33        797
       240        162         33        798
       311        139         33        799
       279        216         33        800
       357        190         34          1
       185        188         34          2
       272        216         34          3
       114        158         34          4
       219        238         34          5
       120        219         34          6
       272         21         34          7
       134        229         34          8
        83        276         34          9
       243        205         34         10
       145        141         34         11
        31        261         34         12
       211        225         34         13
       299        180         34         14
       206        299         34         15
       116        161         34         16
       218        181         34         17
       294        106         34         18
       178        191         34         19
       236        312         34         20
       199        190         34         21
       162        191         34         22
       203        226         34         23
       314        228         34         24
       111        286         34         25
       255        232         34         26
       205        156         34         27
       103        236         34         28
       145        213         34         29
       242        240         34         30
       124        271         34         31
       264        323         34         32
       270        132         34         33
       244        135         34         34
       198        237         34         35
       246        240         34         36
       190        201         34         37
       135        108         34         38
       203        120         34         39
       235        210         34         40
       220        193         34         41
       343        195         34         42
       324        293         34         43
       186        189         34         44
       366        332         34         45
       252        139         34         46
       238        204         34         47
        84        135         34         48
       255        226         34         49
       186        118         34         50
       369        260         34         51
       186        276         34         52
       197        202         34         53
       388        288         34         54
       187        224         34         55
       185        214         34         56
       317         90         34         57
       288         84         34         58
       213        166         34         59
       274         58         34         60
       337        218         34         61
       253        291         34         62
       303        221         34         63
       222        137         34         64
       257        158         34         65
       294        151         34         66
        52        231         34         67
       259         68         34         68
       283        256         34         69
       284        149         34         70
       292        210         34         71
       292        285         34         72
       141        299         34         73
       233        342         34         74
       113        274         34         75
       108        188         34         76
       139        232         34         77
       287        215         34         78
       186        178         34         79
       336         62         34         80
       136        126         34         81
       335        212         34         82
       194        230         34         83
       128        275         34         84
       296        211         34         85
       159        159         34         86
        55        143         34         87
       240        297         34         88
       302        163         34         89
       309        107         34         90
       149        223         34         91
       158        177         34         92
       165         50         34         93
       263        274         34         94
       182        211         34         95
       100        228         34         96
       211        215         34         97
       191        158         34         98
       195        265         34         99
       257        223         34        100
       208        122         34        101
       198        205         34        102
       151        259         34        103
       159        220         34        104
       293        145         34        105
       211        228         34        106
       344        181         34        107
       242        234         34        108
       151        111         34        109
       265        272         34        110
       174        168         34        111
       292        321         34        112
       158         72         34        113
       165        195         34        114
       225        189         34        115
       244        215         34        116
        72        166         34        117
       161        257         34        118
       215        192         34        119
       110        182         34        120
       198        191         34        121
       205        178         34        122
       231         97         34        123
        92        174         34        124
       166        271         34        125
       232        174         34        126
       201        178         34        127
       237        180         34        128
       244        186         34        129
       130        222         34        130
       340         65         34        131
       183        105         34        132
       288        136         34        133
       242        219         34        134
       220        242         34        135
       175        248         34        136
       178        202         34        137
        47        222         34        138
       270        184         34        139
       182        175         34        140
       198        189         34        141
       220        174         34        142
       238        174         34        143
       159        211         34        144
       240        126         34        145
        87        143         34        146
       161        251         34        147
       220        203         34        148
       276         75         34        149
       269        227         34        150
       377        182         34        151
       208        226         34        152
        92        114         34        153
       212        143         34        154
       267        211         34        155
       185        170         34        156
        64        366         34        157
       142        216         34        158
       180        218         34        159
       205        177         34        160
        43        193         34        161
       216        157         34        162
       211         80         34        163
       126        365         34        164
       165        386         34        165
       145        210         34        166
       115        226         34        167
       120        259         34        168
       207        200         34        169
       180        186         34        170
       213        216         34        171
        68        138         34        172
        81         93         34        173
       222        233         34        174
        54        203         34        175
       226        135         34        176
       202        191         34        177
       231        264         34        178
       184        147         34        179
       205        163         34        180
       282        118         34        181
       188        363         34        182
       161        218         34        183
       174        217         34        184
       128        118         34        185
        82        272         34        186
       207        252         34        187
       188        213         34        188
       202        161         34        189
        94        165         34        190
       168        234         34        191
       208        126         34        192
       143        209         34        193
       215        227         34        194
       157        182         34        195
       213        192         34        196
       278        255         34        197
       294        286         34        198
       143        112         34        199
       259        210         34        200
       141        193         34        201
       175        273         34        202
       136        184         34        203
       362        122         34        204
       201        195         34        205
       216        244         34        206
       172        225         34        207
       317        257         34        208
       312        210         34        209
       219        182         34        210
       195         87         34        211
       205        165         34        212
       186        237         34        213
       181        193         34        214
       175        215         34        215
       263        188         34        216
       196        176         34        217
       164        280         34        218
       232        193         34        219
       145        154         34        220
       309        271         34        221
       183        127         34        222
       186        180         34        223
       256         95         34        224
       279        225         34        225
       136        236         34        226
       236        213         34        227
       204        111         34        228
       256        254         34        229
       161        230         34        230
       348        166         34        231
       145        126         34        232
       223        194         34        233
       123        272         34        234
       189        223         34        235
       157        112         34        236
       227        199         34        237
       146        154         34        238
       163        276         34        239
        81        329         34        240
       142        212         34        241
       188        203         34        242
       120        239         34        243
       293        338         34        244
        98        244         34        245
       168        229         34        246
       389        151         34        247
       274        201         34        248
       132        114         34        249
       182        279         34        250
       247        307         34        251
       201        253         34        252
       236        265         34        253
       144        174         34        254
       157        215         34        255
       341        371         34        256
       319        202         34        257
       305        228         34        258
       193        130         34        259
       132        209         34        260
       197        174         34        261
        51        236         34        262
        42        206         34        263
       219        159         34        264
       285        121         34        265
       114        178         34        266
       140        273         34        267
       203        168         34        268
       332        267         34        269
       324        190         34        270
        74        263         34        271
       205        203         34        272
       265        124         34        273
       206        151         34        274
        69        248         34        275
       187        211         34        276
       172        316         34        277
       249        113         34        278
       135        139         34        279
       299        297         34        280
       205         99         34        281
       296        224         34        282
        84        187         34        283
       243        163         34        284
       146         85         34        285
       147        178         34        286
       275        205         34        287
       252        173         34        288
       204        222         34        289
       267        286         34        290
       139        150         34        291
       186        174         34        292
       204        274         34        293
       375        151         34        294
       250        200         34        295
       270        126         34        296
       323        175         34        297
       169        311         34        298
        58        246         34        299
       147        274         34        300
       151        205         34        301
       234        170         34        302
        82        175         34        303
       250        153         34        304
       317        203         34        305
       198        255         34        306
       159        239         34        307
       178        167         34        308
        74         23         34        309
       226        249         34        310
        82        167         34        311
       241        187         34        312
       197        168         34        313
       235        318         34        314
       128        272         34        315
       312        181         34        316
       214        234         34        317
       126        234         34        318
       151        149         34        319
       108        234         34        320
       365        182         34        321
        43        131         34        322
       213        239         34        323
       122        244         34        324
       257        227         34        325
       328        124         34        326
       134        255         34        327
       171         68         34        328
       199        290         34        329
       350        213         34        330
        87        211         34        331
        93        157         34        332
       166        119         34        333
        81        105         34        334
       159        180         34        335
       142         58         34        336
        80        157         34        337
       303        122         34        338
       262        230         34        339
       310        193         34        340
       141        269         34        341
       286        189         34        342
       297        105         34        343
       269        199         34        344
       169        255         34        345
       214        147         34        346
        66        169         34        347
       154        195         34        348
       356        158         34        349
       222        262         34        350
       168        159         34        351
        78        183         34        352
       160        351         34        353
       187        200         34        354
        56        106         34        355
       355         99         34        356
       161         94         34        357
       292         91         34        358
       128        222         34        359
       237         62         34        360
       191        257         34        361
       166         62         34        362
       311        309         34        363
       164        141         34        364
       253        267         34        365
        83        172         34        366
       279        234         34        367
        62         60         34        368
       197        329         34        369
       211        174         34        370
       178        257         34        371
       199        250         34        372
        58        186         34        373
       218        189         34        374
       252        234         34        375
       165        274         34        376
       214        153         34        377
        80        131         34        378
        72        120         34        379
       294        152         34        380
       274        275         34        381
       222        263         34        382
       222        180         34        383
       267        236         34        384
       155        137         34        385
       383        188         34        386
        88        249         34        387
        69        193         34        388
        88        291         34        389
       183        211         34        390
       210        205         34        391
       292        148         34        392
       128         41         34        393
       137        282         34        394
       389        163         34        395
       163        159         34        396
       180        179         34        397
       162         68         34        398
       155        204         34        399
       232         99         34        400
       203        220         34        401
       115        172         34        402
       302        255         34        403
       215        183         34        404
       256        162         34        405
        87        151         34        406
       265        351         34        407
       149        270         34        408
       220        265         34        409
       172        195         34        410
       215        183         34        411
       171        207         34        412
       182        247         34        413
       228        161         34        414
       115        326         34        415
       200        332         34        416
       237        222         34        417
        27        135         34        418
       173        232         34        419
       251         74         34        420
        90        131         34        421
       228        211         34        422
       181        110         34        423
       249        181         34        424
       189        257         34        425
       207        238         34        426
       265        154         34        427
       361        182         34        428
       130        194         34        429
       127        228         34        430
        78        220         34        431
        91        188         34        432
       281        217         34        433
       280        161         34        434
       181        213         34        435
       241        282         34        436
       193        184         34        437
       211        230         34        438
        70        195         34        439
        41        278         34        440
       122        188         34        441
       357        182         34        442
       208        205         34        443
       207        268         34        444
       162        111         34        445
       242         42         34        446
       206        233         34        447
       295        316         34        448
       132        130         34        449
       205        189         34        450
       270        192         34        451
       170        222         34        452
       214        253         34        453
       213        201         34        454
        88        254         34        455
       208        272         34        456
       202        198         34        457
       219        196         34        458
       132        192         34        459
       203        272         34        460
       226        203         34        461
       193        139         34        462
       176        186         34        463
       229        191         34        464
       255        270         34        465
       120        170         34        466
       104         99         34        467
       176        127         34        468
       163        165         34        469
       202        139         34        470
       224        133         34        471
       199        238         34        472
       216        197         34        473
       179        201         34        474
       230        226         34        475
       228        198         34        476
       266        297         34        477
       201        284         34        478
       238        296         34        479
       212        203         34        480
       190        230         34        481
       168        269         34        482
       115        234         34        483
       224        197         34        484
       110        194         34        485
       143        214         34        486
       147        155         34        487
        81        105         34        488
       184        213         34        489
       127        222         34        490
        96        140         34        491
       145        181         34        492
       162        208         34        493
        87        282         34        494
       218        226         34        495
        72        151         34        496
       224        190         34        497
        57        125         34        498
       156        189         34        499
       190        243         34        500
       147        267         34        501
       116        225         34        502
       288         51         34        503
       182        181         34        504
       218        216         34        505
       105        315         34        506
       131        225         34        507
       101        156         34        508
       342        206         34        509
       326        240         34        510
       303        222         34        511
       234        240         34        512
       219        159         34        513
       366        101         34        514
       301        299         34        515
        95        175         34        516
       109         60         34        517
        41        191         34        518
       208         77         34        519
       231        221         34        520
       357        204         34        521
       157        147         34        522
       170        363         34        523
       119        230         34        524
       170        178         34        525
       323        130         34        526
       259        189         34        527
        91        124         34        528
       214        194         34        529
        83        257         34        530
       181        257         34        531
       265        182         34        532
        88        202         34        533
        47         56         34        534
       219        183         34        535
       260        185         34        536
       264        323         34        537
        85        195         34        538
        95         95         34        539
       236        103         34        540
       226        172         34        541
       209        164         34        542
       291        132         34        543
       373        296         34        544
        89         53         34        545
       240         97         34        546
       191        188         34        547
       124        180         34        548
       260        186         34        549
        53        161         34        550
       206        107         34        551
        31        184         34        552
       284        268         34        553
       241        135         34        554
        78        151         34        555
       315        251         34        556
       255        195         34        557
       388        116         34        558
       224        174         34        559
       137        243         34        560
       205        209         34        561
       185        274         34        562
        60        230         34        563
       147        265         34        564
       324        137         34        565
        74        199         34        566
        49        162         34        567
       313        203         34        568
       197        123         34        569
       301        183         34        570
       189        185         34        571
       246        228         34        572
        43        236         34        573
       162        153         34        574
       340        284         34        575
       308        132         34        576
        47        135         34        577
        98        206         34        578
       231        161         34        579
        41        165         34        580
        31        107         34        581
